500|1024
1500|1024
3750|1024
7875|1024
14175|1024
22680|1024
32886|1024
44396|1024
57715|1024
72144|1024
90180|1024
112725|1024
140906|1024
176132|1024
220165|1024
275207|1024
344008|1024
430010|1024
537513|1024
671891|1024
839864|1024
1049830|1024
1312287|1024
1640359|1024
2050449|1024
2563061|1024
3203826|1024
3902260|1024
4663553|1024
5493363|1024
6397855|1024
7383752|1024
8458379|1024
9629723|1024
10906488|1024
12298162|1024
13815086|1024
15468534|1024
17270791|1024
19235252|1024
21376515|1024
23710491|1024
26254525|1024
29027522|1024
32050088|1024
35344686|1024
38935798|1024
42850109|1024
47116709|1024
51767302|1024
56836449|1024
62361819|1024
68384473|1024
74949165|1024
82104680|1024
89904191|1024
98405658|1024
107672256|1024
117772849|1024
128782495|1024
140783010|1024
153863570|1024
168121381|1024
183662396|1024
200602101|1024
219066380|1024
239192444|1024
261129853|1024
285041630|1024
311105466|976
339515048|928
370481492|880
404234916|832
441026148|784
481128591|736
524840254|688
572485967|640
624419793|592
681027665|544
742730244|496
809986056|448
883294891|400
963201521|352
1050299747|304
1145236814|256
1248718217|192
1361512946|144
1484459201|108
1618470619|81
1764543065|61
1923762030|46
2097310703|35
2286478756|26
2492671933|20
2717422497|15
2962400612|11
3229426756|8
3520485254|6
3837739017|5
